Nome,Data de Nascimento,Idade,Email,Codido de Recupeção,Estado,Trabalho,Salario,Anos

Zion Veloso,1990-06-07,31,zionveloso.30qlq@gmail.com,IQXXeQ2722r248,Distrito Federal,Musicoterapia,7168.7,5
Giulia Macedo,2000-06-09,21,giuliamacedo.79ht@gmail.com,cpBZmCWsw2762h624,Ceara,Gestão Hospitalar,5944.2,6
Grazielle Pires,1998-11-27,23,graziellepires.93arj@gmail.com,Duriv3120x447,Bahia,Engenharia da Computação,7844.7,1
Yasmin Araujo,1984-12-16,37,yasminaraujoxydo162.@gmail.com,IhasyF1461c937,Mato Grosso do Sul,Ciências de Dados,6852.72,1
Luana Cardoso,1970-08-14,51,luanacardoso.172wsuy@gmail.com,nQbLm1839r418,Amapa,Engenharia de Biossistemas,4765.12,1
Jose   do Carmo,1982-07-11,39,josedocarmo.224ct@gmail.com,woNdPzj2757c555,Rio Grande do Norte,Engenharia de Energia,5492.88,2
Joana Braga,1989-09-30,32,joanabraga.244pwzp@gmail.com,OtWUUjxSR3783u961,Mato Grosso do Sul,Agronomia,7183.96,5
Letícia Sormani,1982-12-28,39,let�ciasormanivo195.@gmail.com,eWYKiJYe2175i453,Roraima,Hotelaria,3154.85,1
Malu Araujo,1970-05-19,51,maluaraujo.45hz@gmail.com,bvmCw2792k8,Mato Grosso do Sul,Gestão Pública,8736.06,2
Amanda Ferrari,1974-11-10,47,amandaferrariyv190.@gmail.com,FRdwN2454i716,Ceara,Agroecologia,7137.31,2
Zion Pianessola,1989-04-11,32,zionpianessolavc294.@gmail.com,OArEipyCI1249f675,Roraima,Alimentos,6225.88,4
Pedro Serra,1991-10-19,30,pedroserra.200bjzn@gmail.com,ZdzwWQ1410b064,Tocantins,Gestão Comercial,6892.81,3
Isadora Pianezolla,1993-11-23,28,isadorapianezollafi45.@gmail.com,zcvkXI1492f908,Rio Grande do Norte,Gestão Pública,2753.74,4
Melissa Sacramento,1970-10-09,51,melissasacramento.88o@gmail.com,OTIxZEB2484t652,Ceara,Gestão de Seguros,6291.52,3
Benito Pianissoli,1973-12-08,48,benitopianissolim128.@gmail.com,eCEkIZPLs2890h367,Ceara,Química,2236.42,2
Emanuel Serra,1975-05-18,46,emanuelserragqkq173.@gmail.com,DyqGYeWR2576k799,Rondônia,Engenharia de Biossistemas,2370.76,2
Dom Campos,1986-12-12,35,domcamposlii31.@gmail.com,yvXnHdyv3802f859,Alagoas,Computação,6053.32,4
Maitê Brasil,1974-02-08,47,mait�brasil.15k@gmail.com,GVtiR1405y235,Santa Catarina,Gestão de Seguros,5708.48,1
