Nome,Data de Nascimento,Idade,Email,Codido de Recupeção,Estado,Trabalho,Salario,Ano

Erick Pianessola,1984-11-08,37,erickpianessola.212ah@gmail.com,eKdlLmIrg3372x368,Acre,Jornalismo,4866.01,6
Levi Viana,1999-10-06,22,leviviana.168jdso@gmail.com,TCadYy2771s906,Parana,Cinema,4128.44,5
Vinicius Brasil,1994-05-17,27,viniciusbrasil.286bv@gmail.com,fJxGEprs4124v599,Alagoas,Administração Pública,4141.8,4
Ciro Vieira,1980-11-26,41,cirovieira.160xux@gmail.com,eVQqo1261x535,Acre,Comércio Exterior,2226.13,2
Santiago Pianissoli,1978-03-30,43,santiagopianissoli.89t@gmail.com,tLikMrRWM3840c439,Rio de Janeiro,Escultura,3038.33,1
Lourenço Viana,2001-02-22,20,louren�oviana.130yqi@gmail.com,uUIGYLser4392t759,Mato Grosso,Cinema,3170.73,1
Francisco Sacramento,1988-03-30,33,franciscosacramentooy28.@gmail.com,fAYNlSgy1739p222,Distrito Federal,Pedagogia,4000.49,2
Sophie Teixeira,1976-05-07,45,sophieteixeira.105qrt@gmail.com,PAUebZZmt3165k636,Sergipe,Ciências Sociais,4086.97,2
Benicio Varela,1987-10-15,34,beniciovarela.153emsz@gmail.com,qwtrh4390h032,Amapa,Serviço Social,3214.04,1
Bianca Santacruz,1972-08-15,49,biancasantacruz.158ejrf@gmail.com,FsAOcJe2106x987,Goias,Música,3286.23,6
Eduarda Pitanga,1988-06-21,33,eduardapitangax97.@gmail.com,sOuvWCXoQ3061p062,Goias,Administração,3011.32,3
Nicole Barros,1998-05-26,23,nicolebarroslfqh281.@gmail.com,tMMTkC1891e51,Santa Catarina,Economia,2940.7,1
Malu Piasentin,1989-06-05,32,malupiasentin.31rp@gmail.com,NKxAfMtcz2177x595,Rio de Janeiro,Filosofia,3861.5,4
Rafael Valle,1974-11-16,47,rafaelvallemf266.@gmail.com,QHCmET2010b868,Alagoas,Geografia,2810.16,6
Vitor Piassarolli,1978-02-28,43,vitorpiassarolli.197w@gmail.com,KewFSAWKw3975p547,Minas Gerais,Ciências Políticas,4736.4,5
Isis Trindade,1984-05-17,37,isistrindade.75xs@gmail.com,pEfEB1404l266,Rio Grande do Norte,Comércio Exterior,3305.64,1
Emilly de Sa,1996-09-12,25,emillydesagpq116.@gmail.com,gmBCnLxm2571o284,Alagoas,Artes Cênicas,4430.95,3
Giulia Brasil,1969-03-16,52,giuliabrasil.238llv@gmail.com,CcbZu2549r375,Para,Gestão Ambiental,4729.38,6
Caua Couto,1986-12-30,35,cauacoutofawm72.@gmail.com,KhBCJc3131d204,Sergipe,Moda,3135.39,2
