Nome,Data de Nascimento,Idade,Email,Codido de Recupeção,Estado,Trabalho,Salario,Anos

Vicente Piasentin,1971-06-23,50,vicentepiasentin.34jaop@gmail.com,MSjTFgc4059p78,Rio de Janeiro,Odontologia,2342.61,4
Sara Macedo,1973-11-21,48,saramacedo.297dlej@gmail.com,LiycZSf2759v516,Rio de Janeiro,Ciências de Dados,2605.58,5
Marina Sampaulo,1989-01-07,32,marinasampaulo.93wvdd@gmail.com,yhBAIFne1751h051,Amazonas,Obstetrícia,8861.09,3
Aurora Teixeira,1971-09-23,50,aurorateixeira.230x@gmail.com,CIkHCmZ3793n027,Paraiba,Gastronomia,6001.57,6
Gustavo Sampedro,1980-07-31,41,gustavosampedro.40vp@gmail.com,DsfHsDHNx4491s536,Distrito Federal,Gestão Hospitalar,6986.44,3
Romeu  Cezar   Trindade,1977-05-19,44,romeucezartrindadeq206.@gmail.com,tKnjpPEI2945y133,Tocantins,Engenharia de Energia,4500.72,1
Lucas Augusto,1998-11-14,23,lucasaugusto.86m@gmail.com,vsdUq2390b782,Pernambuco,Gestão Hospitalar,2705.32,2
Caio Zanette,1995-04-30,26,caiozanette.135xyv@gmail.com,DoFelf1477s871,Amapa,Gastronomia,4073.99,4
Giovanna Rocha,1971-11-12,50,giovannarocha.113rlyj@gmail.com,QLOFr1765o719,Maranhão,Agroecologia,6019.77,1
Isabelly Castro,1971-03-03,50,isabellycastro.34fij@gmail.com,phGAziJn4036u056,Tocantins,Gestão Financeira,8760.46,2
Ciro Almeida,2000-09-12,21,ciroalmeida.30ki@gmail.com,ZfuvcqiF3626s937,Para,Alimentos,5363.24,6
Clara Braga,2001-12-01,20,clarabraga.87rjf@gmail.com,snKODRj2589d083,Maranhão,Gestão de Seguros,5225.81,4
Eduarda Serra,2002-04-30,19,eduardaserraqy226.@gmail.com,BVxuNWrS2978z664,Espírito Santo,Matematica,7729.84,5
Luana Piccin,1995-03-30,26,luanapiccin.248l@gmail.com,qxsoe3221g638,Rio Grande do Norte,Ciências de Dados,2596.91,6
Benedito Almeida,1974-11-26,47,beneditoalmeida.141dzru@gmail.com,ogYemFe1826j768,Para,Engenharia de Alimentos,5405.92,6
Grazielle Augusto,2001-10-26,20,grazielleaugusto.188ew@gmail.com,VHscE2669r208,São Paulo,Química,5716.64,1
Raul Fontes ,1995-11-29,26,raulfontesekke152.@gmail.com,ClmqXIby3250e272,Paraiba,Obstetrícia,8873.12,4
Guilhermo Pitanga,1975-05-17,46,guilhermopitanga.43lsk@gmail.com,OZHjJbXzi2048p048,Espírito Santo,Matematica,7440.99,3
Gaspar Barros,1983-05-30,38,gasparbarros.196c@gmail.com,MQUXaa1978a548,Maranhão,Gestão de Turismo,2832.65,1
Emilly Xavier,2001-12-05,20,emillyxavier.291k@gmail.com,IakLZoj3659y01,Sergipe,Gastronomia,4578.06,6
Ciro Almeida,1991-01-03,30,ciroalmeidab284.@gmail.com,nxaYgle2205d098,Mato Grosso,Musicoterapia,3321.55,2
Nathan Piazzarollo,1975-04-14,46,nathanpiazzarollob52.@gmail.com,yFiibGGbJ1788q35,Bahia,Gestão de Turismo,5148.67,6
Daniel Souza,1985-03-29,36,danielsouzaobli280.@gmail.com,rmoaMVtyQ3267j576,Rio de Janeiro,Gestão de Seguros,5208.9,4
Mariana do Carmo,1981-10-01,40,marianadocarmo.35j@gmail.com,wbhNxz3393f248,Mato Grosso,Gestão de Turismo,4782.83,3
Joao Pedreira,1987-10-17,34,joaopedreira.150x@gmail.com,FPFRnN2958n743,Roraima,Gestão Pública,8979.37,4
Gustavo Pacini,2000-08-26,21,gustavopacini.187l@gmail.com,aRPRAU3528b367,Paraiba,Gestão Pública,7107.61,1
