Nome,Data de Nascimento,Idade,Email,Codido de Recupeção,Estado,Trabalho,Salario,Ano

Ricardo Almeida,2000-01-02,21,ricardoalmeidagk273.@gmail.com,gxqqicbc4376z663,Maranhão,Economia,1919.08,3
Sophie Pianessola,1979-04-22,42,sophiepianessolabcm110.@gmail.com,nVTSbx4281f332,Tocantins,Jornalismo,4670.94,5
Pedro Piccin,1984-07-25,37,pedropiccin.17lnme@gmail.com,PAoDTvL1603m805,Sergipe,Letras,1548.48,5
Beatriz Couto,1970-02-02,51,beatrizcoutog140.@gmail.com,bYkDL2649g255,Acre,Filosofia,3136.28,6
Isaac Vidal,1981-01-27,40,isaacvidal.131bozg@gmail.com,UtUgjU1245k418,Amapa,Cinema,3292.39,2
Gaspar Pianessola,1987-12-16,34,gasparpianessola.76vg@gmail.com,nGXGea3992c262,Maranhão,Jornalismo,2494.02,6
Antony Pitanga,1979-10-21,42,antonypitangalwb47.@gmail.com,TPBguiyak4522i01,Mato Grosso do Sul,Cinema,1657.32,4
Vitória Vasconcelos,1969-10-23,52,vit�riavasconcelos.185aez@gmail.com,lxxbugTa3862h223,Distrito Federal,Artes Plásticas,4582.87,4
Sophie Ferrari,1989-01-13,32,sophieferrari.78tje@gmail.com,FGoyr2670b805,Distrito Federal,Gestão Ambiental,3453.8,4
Tamara Pilati,1972-12-07,49,tamarapilati.114f@gmail.com,sCmcTDKqM2243x255,Parana,Publicidade de Propaganda,4281.4,3
Liz Sanches,1983-01-04,38,lizsanchesb58.@gmail.com,DqVlY4037h009,Alagoas,Pedagogia,3567.21,3
Benjamin Albuquerque,1985-10-03,36,benjaminalbuquerque.171h@gmail.com,tBvcMHXkE2349o35,Goias,Pedagogia,4651.11,6
Iolanda Macedo,1991-03-12,30,iolandamacedo.201kjs@gmail.com,CsKUUJ2211x02,Paraiba,História,4006.27,4
Bruno Fontes ,1975-11-17,46,brunofontes.273sp@gmail.com,wgVZtNdxj2462a469,Rio Grande do Norte,Jornalismo,4761.57,2
Branca Azevedo,1982-06-20,39,brancaazevedo.91ndqh@gmail.com,msSMl3579u424,Goias,Hotelaria e Turismo,3381.92,5
Davi Luiz Viana,1990-01-24,31,daviluizviana.45tb@gmail.com,uawjNAj3174x889,Rio Grande do Sul,História,1746.58,5
Serafim Ximenes,1991-03-24,30,serafimximenes.225pm@gmail.com,xlSMgGybk3155j462,Sergipe,Secretariado,4058.42,3
Estrela Varela,1972-03-21,49,estrelavarela.268d@gmail.com,wsDcZ1615n496,Parana,Economia Doméstica,2217.77,6
Enzo Pacini,1994-10-11,27,enzopacini.33pvtw@gmail.com,AoJDVAcb4346c048,Acre,Gastronomia,3211.52,3
João Vitor Trindade,1985-06-06,36,jo�ovitortrindade.153p@gmail.com,OaOCkSF4508t034,Rio Grande do Norte,Gestão Ambiental,1997.83,5
Alícia Castro,1996-01-23,25,al�ciacastroez149.@gmail.com,risGfKnE1665f197,Minas Gerais,Administração Pública,2176.16,2
Emilly Piasentin,1974-12-19,47,emillypiasentin.18ln@gmail.com,Zacmm1382a056,Santa Catarina,Serviço Social,3035.03,5
Davi Miguel dos Santos Sousa,1980-07-15,41,davimigueldossantossousa.303x@gmail.com,vTztTDt3103w746,Amapa,Moda,2846.21,3
Andre Souza,1988-12-19,33,andresouza.69pyaj@gmail.com,dtOZEDiBG2675o737,Tocantins,Ciências Políticas,2156.66,5
Lino Campos,1997-09-17,24,linocampos.232sf@gmail.com,eMInP4203c019,Pernambuco,Comunicação Social,2976.86,4
Esther Pitanga,1990-04-04,31,estherpitanga.229oln@gmail.com,navOy3740v131,Para,Filosofia,1768.01,5
Samuel Santacruz,1972-10-13,49,samuelsantacruz.83mo@gmail.com,eQpTq2224b051,Amapa,Gerontologia,4746.14,5
